2020-09-16 11:07:55.421 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:55.422 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:57.120 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:57.137 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:57.137 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:57.137 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:57.138 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:08:00.281 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:08:00.282 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:08:00.282 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:08:00.282 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:13:19.379 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:13:19.381 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:13:19.382 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:13:19.382 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:13:19.391 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:13:19.391 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:13:19.391 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:13:19.392 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:13:19.400 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:13:19.401 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:13:19.402 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:13:19.402 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:13:19.410 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:13:19.410 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:13:19.411 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:13:19.411 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:15:09.197 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:15:09.198 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:15:09.199 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:15:09.200 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:15:09.208 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:15:09.209 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:15:09.209 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:15:09.210 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:15:09.223 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:15:09.223 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:15:09.223 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:15:09.224 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:15:09.229 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:15:09.230 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:15:09.230 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:15:09.230 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:17:53.220 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:17:53.222 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:17:53.222 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:17:53.223 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:17:53.231 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:17:53.231 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:17:53.232 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:17:53.232 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:17:53.245 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:17:53.246 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:17:53.246 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:17:53.247 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:17:53.253 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:17:53.253 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:17:53.253 INFO  FieldGrid:52 - Erstelle horizontale Linien
